VideoName,ImdbTitle,Year
Star Wars Episode VI Return Of The Jedi 1983 1080 p Rifftrax 6 ch 2 ch v 2,,
Star Wars Solo 2018 1080 p Rifftrax 6 ch 2 ch x 265 HEVC,,
The Star Wars Holiday Special high TV,The Star Wars Holiday Special,1978
Star Wars Episode IV A New Hope 1977 1080 p Rifftrax 6 ch 2 ch Plinkett,,
Star Wars Episode V The Empire Strikes Back 1980 1080 p Rifftrax 6 ch 2 ch v 2,,
Star Wars Episode VI Return Of The Jedi 1983 1080 p Rifftrax 6 ch 2 ch v 2,,
Terminator 3 Rise Of The Machines 2003 1080 p Rifftrax 6 ch 2 ch v 2,,
Total Recall Mind Bending Edition 1990 1080 p Blu Ray x 264 YIFY,,
Hangin' Out With Riff Trax Quiplash 10 13 21,,
Talkin' Riff Trax THE ALIEN DEAD,The Alien Dead,1980
Harry Potter and the Goblet of Fire Rifftrax,Harry Potter and the Goblet of Fire,2005
Harry Potter and the Prisoner of Azkaban Rifftrax,Harry Potter and the Prisoner of Azkaban,2004
Harry Potter And The Sorcerer's Stone Rifftrax,Harry Potter and the Sorcerer's Stone,2001
Harry Potter Order of the Phoenix riff,Harry Potter and the Order of the Phoenix,2007
Harry Potterand the Chamber of Secrets Riff Trax,Harry Potter and the Chamber of Secrets,2002
Indiana Jones And The Raiders Of The Lost Ark 1981 1080 p Rifftrax 6 ch 2 ch v 2,,
Star Trek Rifftrax,Star Trek,2009
Star Trek 6 Rifftrax,Star Trek,2009
Star Trek II The Wrath of Khan Rifftrax,Star Trek II: The Wrath of Khan,1982
Star Trek V Rifftrax,Star Trek V: The Final Frontier,1989
Star Trek VII Generations Rifftrax,Star Trek Generations,2007
Star Trek Voyager Caretaker Rifftrax,Launch of Star Trek: Voyager,1995
Birdemic Rifftrax Live,Birdemic the Musical,
Krull 1983 1080 p Rifftrax 6 ch x 265 HEVC,,
Rifftrax Live 001 Plan 9 From Outer Space,Plan 9 from Outer Space,1958
Rifftrax Live 002 Christmas Shorts stravaganza,RiffTrax Live: Christmas Shorts-stravaganza!,2009
Rifftrax Live 003 Reefer Madness,Reefer Madness,1938
Rifftrax Live 004 House On Haunted Hill,A House on Haunted Hill,
Rifftrax Live 005 Jack The Giant Killer,Jack the Giant Killer,1962
Rifftrax Live 006 Manos The Hands Of Fate,Manos: The Hands of Fate,1966
Rifftrax Live 007 Birdemic,Birdemic the Musical,
Rifftrax Live 009 Night Of The Living Dead,Night of the Living Dead,1968
Rifftrax Live 013 (short only) Anaconda Halloween Party (Live Edition),,
Rifftrax Live 014 Santa Claus,Santa Claus,1985
Rifftrax Live 015 (short only) The Room At Your Fingertips Floats (Live Edition),At Your Fingertips: Floats,1970
Rifftrax Live 016 Sharknado 2 The Second One,Sharknado 2: The Second One,2014
Rifftrax Live 018 Santa And The Ice Cream Bunny,Santa and the Ice Cream Bunny,1972
Rifftrax Live 020 MST 3 K Reunion Show,,
Rifftrax Live 021 (short only) Mothra Soapy The Germ Fighter,Soapy the Germ Fighter,1951
Rifftrax Live 022 Carnival Of Souls,Carnival of Souls,1962
Rifftrax Live 023 Samurai Cop,Samurai Cop,1991
Rifftrax Live 024 Summer Shorts Beach Party,RiffTrax Live: Summer Shorts Beach Party,2017
Rifftrax Live 025 (short only) Doctor Who The Five Doctors Play Safe (Live Edition),,
Rifftrax Live 029 Star Raiders,Star Raiders,
Rifftrax Live 033 Return Of Swamp Thing,The Return of Swamp Thing,1989
Riff Trax Live Jack The Giant Killer i Pad,Jack the Giant Killer,1962
Riff Trax Live Santa Conquers The Martians,Santa Claus Conquers the Martians,1964
Riff Trax Live Amityville 4 The Evil Escapes,Amityville Horror: The Evil Escapes,1989
Riff Trax Live Giant Spider Invasion,The Giant Spider Invasion,1975
Riff Trax Live Hobgoblins,Hobgoblins,1988
Riff Trax Live Miami Connection,Miami Connection,1988
Riff Trax Live Octaman,Octaman,1971
Riff Trax Live Plan 9 From Outer Space,Plan 9 from Outer Space,1958
Riff Trax Live Rad,Rad,1986
Riff Trax Live Return Of Swamp Thing,The Return of Swamp Thing,1989
Riff Trax Live Santa Claus,Santa Claus,1985
Riff Trax Live Santa Conquers The Martians,Santa Claus Conquers the Martians,1964
Riff Trax Live Space Mutiny,Space Mutiny,1988
Riff Trax Live Timechasers,Time Chasers,1994
Riff Trax Live Sharknado,Sharknado,2013
The Room 2003 720 p Riffv 2 Riffv 1 6 ch 2 ch 5 subs,,
Assignment Outer Space,Assignment: Outer Space,1960
Atom Age Vampire,Atom Age Vampire,1960
Flash Gordon Part 2,Flash Gordon,1936
Flash Gordon 1954 Part 1,RiffTrax Presents: Flash Gordon (Part 1),2021
King Of Kong Island,King of Devil's Island,2010
Planet Outlaws,Planet Outlaws,1953
Purple Death From Outer Space,Purple Death from Outer Space,1966
Snowbeast,Snowbeast,1977
A Badgers Bad Day,A Badger's Bad Day,1959
A Boy Of India,A Nice Indian Boy,2024
A Case Of Spring Fever,A Case of Spring Fever,1940
A Day Of Thanksgiving,A Day of Thanksgiving,1951
Alcohol,Alcohol,2026
Animal Homes Rifftrax,Animal Homes,2015
At Your Fingertips Grasses,At Your Fingertips: Grasses,1970
At Your Fingertips Play Clay,At Your Fingertips: Play Clay,1970
Basic Job Skills Customers,Basic Job Skills: Dealing with Customers,1976
Beginning Responsibility Broken Bookshop,Beginning Responsibility: The Broken Bookshop,1979
Behave Bernard,"Behave, Bernard!",1983
Billys Helicopter Ride[i Pod],Billy's Helicopter Ride,1962
BR Getting Ready For School,Sesame Street: Getting Ready for School,1987
Chipmunk Family,Chipman Family,
Choking To Save A Life,Choking: To Save a Life,1977
Christmas With Riff Trax Santas Village Of Madness,Christmas with RiffTrax: Santa's Village of Madness,2012
Clean And Neat With Harv And Marv,Clean and Neat with Harv and Marv,1975
Cooking Terms,On Speaking Terms,1997
Cooks And Chefs,Cooks and Chefs,1970
Corkythe Crow,Corky the Crow,1960
County Fair,County Fair,1950
Courtesy A Good Eggsample,Courtesy: A Good Eggsample,1976
Courtesy Counts A Lot,Courtesy Counts a Lot,1976
Danger Keep Out,Danger Keep Out!,1987
David And Hazel,David and Hazel: A Story in Communication,1964
Dinosaurs,Dinosaurs,2023
Duck And Cover,Duck and Cover,1952
Families Earningand Spending,Families: Earning and Spending,1976
Farm Babies And Their Mothers i Pad,Farm Babies and Their Mothers,1954
Fashion Horizons,Fashion Horizons,1940
Feelings Feeling Alone,Feelings: I'm Feeling Alone,1974
Fish That Nearly Drowned i Pad,The Fish That Nearly Drowned,1966
Flash That Smile,Flash That Smile,1984
Friends,Friends,1994
Friends,Friends,1994
Frustrating Fours,The Frustrating Fours and Fascinating Fives,1953
Getting Angry,Getting Angry,1966
Goodbye Weeds,"Goodbye, Weeds",1946
Hare And The Tortoise,The Hare and the Tortoise,1979
Health Your Posture,Health: Your Posture,1953
How To Be Courteous To Mary Jo,How to Be Awesome at Your Job,2016
How To Keep A Job,How to Keep a Job,1949
Improve Your Pronunciation,Improve Your Pronunciation,1972
Jack And The Beanstalk,Jack and the Beanstalk,2009
Jimmy Of The Safety Patrol,Jimmy of the Safety Patrol,1950
Join Hands Let Go,"Join Hands, Let Go!",1969
Joy Ride,Joy Ride,2023
Juanand His Donkey,Alim and His Donkey,1978
Kangaroos,Kangaroos,1953
Lets Give Kitty A Bath,Let's Give Kitty a Bath!,1985
Lets Pretend Magic Sneakers,Let's Pretend: Magic Sneakers,1969
Litter Monster,The Litter Monster,1970
Maintaining Classroom Discipline,Maintaining Classroom Discipline,1947
Making Sense With Sentences,Making Sense with Sentences,1975
Making Sense With Sentences,Making Sense with Sentences,1975
Marriage Is A Partnership,Marriage Is a Partnership,1951
Monkey See Monkey Do,"Monkey See, Monkey Do",2009
Mr B Natural Tablet,Mr. B Natural,1957
Mysterious Message,The Mysterious Message,1982
Night Before Christmas,The Night Before Christmas,2022
Norman Checks In,Norman Checks In,1984
Norman Checks In,Norman Checks In,1984
Norman Gives A Speech,Norman Gives a Speech,1989
Norman Krasner Tablet,Norman Krasna,
Nutrition,Nutrition Nerd,2019
Oh Boy Babies,,
One Turkey Two Turkey,"One Turkey, Two Turkey",1971
Paper And I,Paper and I,1960
Prickly The Porcupine,Prickly the Porcupine,1955
Reading From Now On,Reading from Now On,1969
Reading From Now On,Reading from Now On,1969
Read On From Left To Right,From Left to Right,1989
Rediscovery Puppets,Puppets,1967
Rescue Man,Rescueman,1982
rifftrax a visit to santa,A Visit to Santa,1963
rifftrax Act Your Age,Act Your Age,2011
Rifftrax Alcohol Trigger Films,"Alcohol Trigger Films for Junior High School: The Party, the Mother, the Ride",1979
Rifftrax Aqua Frolics,Aqua Frolics,1950
Rifftrax Are All People The Same,Are People All the Same?,1977
Rifftrax Are You Popular,Are You Popular?,1947
Rifftrax Bill Of Rights,The Bill of Rights,
rifftrax Buying Food,Buying Food,1950
Rifftrax Carnivorous Plants,Carnivorous plants,2021
rifftrax Christmas Dream,Christmas Dream,2000
rifftrax Christmas Rhapsody,Christmas Rhapsody,1948
rifftrax Coffee House,Coffee House,1957
Rifftrax Cooking Terms,On Speaking Terms,1997
Rifftrax Cops Who Needs Them,Cops! Who Needs Them?,1973
rifftrax Cork Crashes And Curiosities,Cork: Crashes and Curiosities,1945
Rifftrax Damaged Goods,Damaged Goods,2021
Rifftrax Dont Be A Bloody Idiot,Don't Be a Bloody Idiot,1978
rifftrax Down And Out,Down and Out,1971
rifftrax Drugs Are Like That,Drugs Are Like That,1969
Rifftrax Fad Diet Circus,The Fad Diet Circus,1973
Rifftrax Family Teamwork,Family Teamwork,1979
Rifftrax Flying Stewardesses,Blazing Stewardesses,1975
Rifftrax Good Eating Habits,Good Eating Habits,1951
Rifftrax Good Health Practices,Good Health Practices,1953
Rifftrax Highway Mania,Highway Mania,1937
rifftrax If Mirrors Could Speak,If Stone Could Speak,2008
Rifftrax It Must Be The Neighbors,It Must Be the Neighbors,1966
Rifftrax Kitty Cleans Up,Kitty Cleans Up,1949
Rifftrax Lunchroom Manners,Lunchroom Manners,
Rifftrax Magical Disappearing Money,Magical Disappearing Money,1972
Rifftrax Monkey See Monkey Do,"Monkey See, Monkey Do",2009
Rifftrax Moose Baby,Whose Baby?,2004
Rifftrax More Dangerous Than Dynamite,More Dangerous Than Dynamite,1941
rifftrax one got fat,One Got Fat,1963
Rifftrax Overcoming Fear,Overcoming Fear,1950
rifftrax Parade Of Aquatic Champions,Parade of Aquatic Champions,1945
Rifftrax Patriotism,Patriotism,1966
Rifftrax Primary Safety In School,Primary Safety: In the School Building,1955
Rifftrax Right or Wrong,For Right or Wrong,2006
Rifftrax Rudolph The Red Nosed Reindeer,Rudolph the Red-Nosed Reindeer,1964
rifftrax saftey harm hide at home,Safety: Harm Hides at Home,1974
Rifftrax Self Conscious Guy,Self-Conscious Guy,1951
Rifftrax Shake Hands With Danger,Shake Hands with Danger,1980
Rifftrax Skipper Learns a Lesson,Skipper Learns a Lesson,1952
Rifftrax Snap Out Of It,Snap Out of It!,2025
rifftrax Terrible Truth,The Terrible Truth,1951
rifftrax The Night Before Christmas,The Night Before Christmas,1961
rifftrax The Trouble With Women,The Trouble with Women,1947
Rifftrax Things Are Different Now,Things Are Different Now,1978
rifftrax Three Magic Words,Three Magic Words,1939
Rifftrax Toward Emotional Maturity,Toward Emotional Maturity,1954
Rifftrax Watch Out For My Plant,Watch Out for My Plant,1972
Rifftrax What If We Had A Fire,What If We Had a Fire?,1976
Rifftrax Whatever The Weather,Whatever the Weather,2016
rifftrax why doesn't cathy eat breakfast Petaluma Chicken,,
Rifftrax Why Vandalism,Why Vandalism?,1955
Rifftrax Williams Doll,William's Doll,1981
Rifftrax Wing Claw Fang,"Wing, Claw and Fang!",1946
Rifftrax You Can Do Something About Acne,You Can Do Something About Acne,1970
Rifftrax Zoology Pigs,,
Riff Trax Villains,Villains,2019
Riff Trax Live Halloween Party,Halloween Party,2019
Safe Living At School,Safe Living at School,1948
Safety Woman In Danger Out Of Doors,Safety: In Danger Out of Doors,1978
Sailing A Toy Boat,Sailing a Toy Boat,1952
Senior Power,Senior Power,1975
Setting Up A Room,Setting Up a Room,1967
Shapes We Live With,Shapes We Live With,1970
Shorts vol 1 Rifftrax,Horror Shorts Volume 1,2013
Starting School,Starting School,1973
Story Telling Can You Tell It In Order,Story-telling: Can You Tell It in Order?,1953
Study Skills Verbal Communication,Study Skills: Verbal Communication Made Easy,1990
The Myths Of Shoplifting,The Myths of Shoplifting,1980
The Night Dracula Saved The World,The Night Eats the World,2018
The Red Hen,The Red Hen,1964
The Toymaker,The Toymaker,2023
This Is Hormel,This is Hormel,1965
Tiny Astronaut,The Tiny Astronaut,1966
Toes Tell Whose Shoes,Juice Escobar feat. 3rd Rell: Deze Hoes,2014
Tommys Day,Mommy's Day,1997
Tooth Truth,Tooth Truth with Harv and Marv,1990
Total Riff Off Ep 4 Man V Monster,Man v. Monster,2011
Total Riff Off Ep 5 Aimals Behaving Badly,,
Trip To The Moon Tablet,Trip to the Moon,1958
Unto The Least Of These,Unto the Least of These,2008
Values Understanding Ourselves,Values: Understanding Ourselves,1969
Vision In The Forest,Vision in the Forest,1957
Vision In The Forest,Vision in the Forest,1957
Walking To School,Walking to School,2016
Warty The Toad,"Warty, the Toad",1973
We Discover Thedictionary,We Discover the Dictionary,1963
Welcome Back Norman,"Welcome Back, Norman",1979
What Areletters For,What Are Letters for?,1973
What Is Nothing,What Is Nothing?,1973
What Makes Things Float,What Makes Things Float?,1951
When Should Grownups Stop Fights,When Should Grown-Ups Stop Fights?,1955
William From Georgia To Harlem,William: From Georgia to Harlem,1971
Willy Whistle,Lilly White,2018
With An Allstar Cast,With an All-Star Cast,1956
You Can Do Something About Acne,You Can Do Something About Acne,1970
Youre The Judge,You're the Judge,1965
Batman and Robin 1 Batman Takes Over,,
Batman and Robin 10 Batmans Last Chance,,
Batman and Robin 11 Batman Robins Ruse,,
Batman and Robin 12 Robin Rides the Wind,,
Batman and Robin 13 The Wizards Challenge,,
Batman and Robin 14 Batman Vs The Wizard,Batman vs. Robin: Talon of the Owls,2015
Batman and Robin 15 Batman Victorious,Batman and Robin,1949
Batman and Robin 2 Tunnel of Terror,,
Batman and Robin 3 Robin's Wild Ride,,
Batman and Robin 4 Batman Trapped,Batman and Robin,1949
Batman and Robin 5 Robin Rescues Batman,Batman and Robin,1949
Batman and Robin 6 Target Robin,Batman and Robin,1949
Batman and Robin 7 The Fatal Blast,,
Batman and Robin 8 Robin Meets the Wizard,,
Batman and Robin 9 The Wizard Strikes Back,,
Rifftrax Are All People The Same,Are People All the Same?,1977
Rifftrax Bill Of Rights,The Bill of Rights,
Rifftrax Cooking Terms,On Speaking Terms,1997
Rifftrax Cops Who Needs Them,Cops! Who Needs Them?,1973
Rifftrax Dont Be A Bloody Idiot,Don't Be a Bloody Idiot,1978
Rifftrax Fad Diet Circus,The Fad Diet Circus,1973
Rifftrax Family Teamwork,Family Teamwork,1979
Rifftrax Highway Mania,Highway Mania,1937
Rifftrax Magical Disappearing Money,Magical Disappearing Money,1972
Rifftrax Monkey See Monkey Do,"Monkey See, Monkey Do",2009
Rifftrax Moose Baby,Whose Baby?,2004
Rifftrax More Dangerous Than Dynamite,More Dangerous Than Dynamite,1941
Rifftrax Overcoming Fear,Overcoming Fear,1950
Rifftrax Shake Hands With Danger,Shake Hands with Danger,1980
Rifftrax Things Are Different Now,Things Are Different Now,1978
Rifftrax Watch Out For My Plant,Watch Out for My Plant,1972
Rifftrax What If We Had A Fire,What If We Had a Fire?,1976
Rifftrax Whatever The Weather,Whatever the Weather,2016
Rifftrax Williams Doll,William's Doll,1981
Rifftrax Wing Claw Fang,"Wing, Claw and Fang!",1946
Rifftrax You Can Do Something About Acne,You Can Do Something About Acne,1970
Rifftrax Zoology Pigs,,
Aladdin,Aladdin,2019
Atom Age Vampire,Atom Age Vampire,1960
Attack Of The Puppet People,Attack of the Puppet People,1958
Attack Of The Super Monsters,Attack of the Super Monsters,1983
Bermuda Triangle,The Bermuda Triangle,1978
Best Of Riff Trax Villains,The Best of Village People,1993
Birdemic Rifftrax,Birdemic the Musical,
Bloody Pit Of Horror,Bloody Pit of Horror,1965
Bride And The Beast,The Bride and the Beast,1958
Buffalo Rider,Buffalo Rider,1976
City Of The Dead,City of the Living Dead,1980
Cool As Ice HD,Cool as Ice,1991
Crater Lake Monster Rifftrax,The Crater Lake Monster,1977
Curse Of Bigfoot,Curse of Bigfoot,1975
Cyborg Cop 2,Cyborg Cop,1993
Dinosaurus,Dinosaurus!,1960
Double Dragon,Double Dragon,1994
Earth Angel,Earth Angel,
Fairy King Of Ar,RiffTrax: The Fairy King of Ar,2018
Fangs Of The Living Dead,Fangs of the Living Dead,1969
Fight To Win,Fight to Win,1987
Fist Of Fury,Fist of Fury,1972
Frankenstein Island,Frankenstein Island,1981
Fun in Baloonland,Fun in Balloon Land,1965
Future Force,Future Force,1989
Future Zone i Pad,,
Gammera The Invincible,Gammera the Invincible,1966
Ghost House,Ghost House,2017
Giant From The Unknown,Giant from the Unknown,1958
Gumby The Movie,Gumby: The Movie,1995
Guy From Harlem,The Guy from Harlem,1977
Hawkthe Slayer high TV,Hawk the Slayer,1980
Hawkthe Slayer,Hawk the Slayer,1980
Jaws 3 D Rifftrax Presents,Jaws 3-D,1983
Karate Cop,Karate Cop,1991
Kill And Kill Again,Kill and Kill Again,1981
Killers From Space,Killers from Space,1954
Ladyhawke,Ladyhawke,1985
Lycan Colony,Lycan Colony,2006
Mc Bain,McBain,1991
Merlin The Return,Merlin: The Return,2000
Mesa Of Lost Women i Pad,Mesa of Lost Women,1953
Missile to the Moon Rifftrax,Missile to the Moon,1958
Money Plane 2020 1080 p Rifftrax 6 ch x 265 HEVC,,
Mothra 1961 1080 p Rifftrax 2 ch x 264,,
Mutant,Teenage Mutant Ninja Turtles,1990
Neutron,The Neutron Bomb,2022
Nightmare At Noon,Nightmare at Noon,1988
Planet of Dinosaurs Rifftrax,Planet of Dinosaurs,1977
Pressure Point Riff Trax,Pressure Point,1962
Prisoners Of The Lost Universe,Prisoners of the Lost Universe,1983
Replica,Replica,2005
Revenge Of Dr X,RiffTrax: The Revenge of Doctor X,2012
Riff Trax 90 s Internet Special,KNBC Internet Security Special,2006
Robot Monster,Robot Monster,1953
Rollergator,Rollergator,1996
ROTOR,Rotor,2022
Sisters Of Death,Sisters of Death,1976
Sorcerers Apprentice,The Sorcerer's Apprentice,2010
Stargames 1998 WEB x 264 Riff Trax,,
Street Fighter 1994 1080 p Rifftrax 6 ch x 265 HEVC,,
Super Mario Bros,Super Mario Bros.,1993
The Beast Of The Yellow Night,Beast of the Yellow Night,1971
The Dark,The Dark Tower,2017
The Devils Hand high,The Devil's Hand,2014
The Last Slumber Party,The Last Slumber Party,1988
Tourist Trap,Tourist Trap,1979
Warriors Of The Wasteland,Warriors of the Wasteland,1983
When A Stranger Calls Back i Pad,When a Stranger Calls Back,1993
Wonderful Land Of Oz,The Wonderful Land of Oz,1969
Yor Hunter From The Future,Yor: The Hunter from the Future,1983
Zindy The Swamp Boy,Zindy the Swamp Boy,1973
Zombie Nightmare,Zombie Nightmare,1987
Heroes s 01 e 01,,
